codigo,año,campaña,olores,color,espumas,mat_susp,tem_agua,tem_aire,od,ph,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,Poblacion_partido
CA047,2021.0,verano,0.0,0.0,0.0,0.0,0.8705357142857144,0.5788177339901477,0.48822515795519816,0.5923566878980893,0.0005414293448990641,0.0028167136118935317,0.0014405857148500334,0.17402597402597403,0.03272188575661192,0.2251655629139073,0.08469387755102036,0.28829993535875886,0.46983546617915906,0.0,0.9999999999999999
BS094,2024.0,verano,0.0,0.0,1.0,0.0,0.8928571428571428,0.6551724137931034,0.45720850086157383,0.6093418259023355,0.0009985728551040788,0.003316721945365756,0.0014405857148500334,0.14545454545454545,0.042183035908799495,0.11920529801324506,0.35,0.05946994182288301,0.2915904936014625,0.0,0.012078647092104877
BS092,2021.0,invierno,0.0,0.0,0.0,0.0,0.21875,0.0,0.7128087306145893,0.772823779193206,0.002284288977555682,0.0008166802780046335,0.007940972487863027,0.12727272727272726,0.07629297198379155,0.3315988647114475,0.007142857142857131,0.07692307692307693,0.09506398537477148,0.0,0.012078647092104877
AV055,2021.0,otoño,0.0,0.0,0.0,0.0,0.4330357142857143,0.3620689655172414,0.19529006318207925,0.5074309978768579,0.03571290816129738,0.04998416640277339,0.003440704721930955,0.09090909090909093,0.11114984096553528,0.15562913907284773,0.32142857142857145,0.13574660633484165,0.14533820840950643,0.1764705882352941,0.09927592871789673
SI022,2022.0,verano,0.0,0.0,0.0,0.0,0.8928571428571428,0.7586206896551724,0.32337736932797245,0.33757961783439505,0.008570012242874632,0.006650110835180587,0.037942757594076844,0.2181818181818182,0.03054333144525293,0.04635761589403974,0.05714285714285712,0.0,0.07678244972577697,0.0,0.07629402395910664
EN082,2021.0,invierno,0.0,0.0,0.0,0.0,0.1964285714285715,0.0,0.7047673750717979,0.8768577494692145,0.0004271434673478105,0.0008166802780046335,0.005440823729011875,0.18181818181818182,0.04579321162476581,0.10927152317880795,0.19285714285714284,0.31221719457013575,0.13162705667276053,0.025210084033613443,0.0
SF015,2022.0,primavera,0.0,0.0,0.0,0.0,0.5982142857142857,0.3448275862068965,0.43538196438828264,0.39642098877767684,0.0018557169367384811,0.008316805280088001,0.012941270005565329,0.11818181818181818,0.030107620582981137,0.04966887417218544,0.09285714285714285,0.09308338720103423,0.16819012797074956,0.0,0.03519594729388987
AV052,2022.0,verano,0.0,0.0,0.0,0.0,0.861607142857143,0.7310344827586206,0.24296381390005745,0.5307855626326965,0.0035700051000072857,0.01665027750462508,0.006940912984322567,0.34090909090909094,0.0,0.20198675496688742,0.3,0.3303167420814479,0.06764168190127971,0.0,0.09927592871789673
SI022,2021.0,primavera,0.0,0.0,0.0,0.0,0.8035714285714286,0.9655172413793103,0.35611717403790927,0.4437367303609343,0.02142717346739067,0.019983666394439912,0.014441359260876021,0.10454545454545454,0.08936429785194545,0.076158940397351,0.12142857142857143,0.04072398190045248,0.04021937842778793,0.0028991596638655464,0.07629402395910664
SF015,2022.0,verano,0.0,0.0,0.0,1.0,0.6473214285714286,0.6551724137931034,0.20964962665134979,0.2866242038216562,0.0031414330591900846,0.0008166802780046335,0.01344129975733556,0.1954545454545455,0.0,0.06622516556291391,0.20714285714285713,0.0,0.11791590493601463,0.0,0.03519594729388987
VL031,2023.0,primavera,0.0,0.0,0.0,1.0,0.7589285714285714,0.6206896551724137,0.27972429638139,0.25265392781316365,0.015712879589827984,0.09165152752545877,0.14994942199060843,0.14090909090909093,0.07629297198379155,0.056291390728476824,0.1459183673469388,0.08597285067873303,0.07221206581352833,0.0,0.07138806492440421
BS092,2021.0,verano,0.0,0.0,0.0,0.0,0.625,0.7931034482758621,0.27053417576105687,0.4437367303609343,0.0025700036714338165,0.01248354139235654,0.023941924544510395,0.09090909090909093,0.08500718922922748,0.228476821192053,0.26428571428571423,0.12669683257918551,0.06307129798903108,0.0,0.012078647092104877
